Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Made For Humans,Made For Humans II,,,,,"style_exact, Ambient",https://discogs.com/release/29145934-Made-For-Humans-Made-For-Humans-II,,,
Zéro Gr4vity,Une Très Légère Oscillation,,,,,"style_exact, Ambient",https://discogs.com/release/29138923-Z%C3%A9ro-Gr4vity-Une-Tr%C3%A8s-L%C3%A9g%C3%A8re-Oscillation,,,
Jon Collin,Peugeot 205,,,,,"style_exact, Ambient",https://discogs.com/release/29138857-Jon-Collin-Peugeot-205,,,
Emerald Adrift,The Blue Flower,,,,,"style_exact, Ambient",https://discogs.com/release/29129884-Emerald-Adrift-The-Blue-Flower,,,
Med Goodall*,Coral Sand,,,,,"style_exact, Ambient",https://discogs.com/release/29126512-Med-Goodall-Coral-Sand,,,
Nadège ,Aquatique,,,,,"style_exact, Ambient",https://discogs.com/release/29125492-Nad%C3%A8ge-Aquatique,,,
Perfume ,Oil Lamp Catastrophe I & II,,,,,"style_exact, Ambient",https://discogs.com/release/29131984-Perfume-Oil-Lamp-Catastrophe-I-II,,,
Xqui,Melting Ice With Ice,,,,,"style_exact, Ambient",https://discogs.com/release/29134648-Xqui-Melting-Ice-With-Ice,,,
Yaryu,​Bongaku,,,,,"style_exact, Ambient",https://discogs.com/release/29109031-Yaryu-Bongaku,,,
Unknown Artist,Tranquil Waters,,,,,"style_exact, Ambient",https://discogs.com/release/29100625-Unknown-Artist-Tranquil-Waters,,,
Various,Fahrenheit Project (Part One),,,,,"style_exact, Ambient",https://discogs.com/release/29070988-Various-Fahrenheit-Project-Part-One,,,
Dreamy Knight,Ruins of the Old Kingdom,,,,,"style_exact, Ambient",https://discogs.com/release/29061280-Dreamy-Knight-Ruins-of-the-Old-Kingdom,,,
Mike & Sunhair,In search of spacekraut,,,,,"style_exact, Ambient",https://discogs.com/release/29045533-Mike-Sunhair-In-search-of-spacekraut-,,,
Bochum Welt,R​.​O​.​B.,,,,,"style_exact, Ambient",https://discogs.com/release/29036827-Bochum-Welt-ROB,,,
Simon Wester ,Closer,,,,,"style_exact, Ambient",https://discogs.com/release/29012443-Simon-Wester-Closer,,,
Simon Wester ,Never Alone,,,,,"style_exact, Ambient",https://discogs.com/release/29011210-Simon-Wester-Never-Alone,,,
Salt Of The Sound | Be Still the Earth,Stay,,,,,"style_exact, Ambient",https://discogs.com/release/29010535-Salt-Of-The-Sound-Be-Still-the-Earth-Stay,,,
Maiia,Ethneomystica Vol. 11,,,,,"style_exact, Ambient",https://discogs.com/release/28998205-Maiia-Ethneomystica-Vol-11,,,
Moon Dome,Moon Dome,,,,,"style_exact, Ambient",https://discogs.com/release/28989937-Moon-Dome-Moon-Dome,,,
DJ SegaNet,My Computer,,,,,"style_exact, Ambient",https://discogs.com/release/28986892-DJ-SegaNet-My-Computer,,,
Casino Hearts,Lonesome Island,,,,,"style_exact, Ambient",https://discogs.com/release/28986499-Casino-Hearts-Lonesome-Island,,,
Prins Emanuel,Diagonal Musik II,,,,,"style_exact, Ambient",https://discogs.com/release/29205793-Prins-Emanuel-Diagonal-Musik-II,,,
Mitseliy*,Forgotten Pine Trails I,,,,,"style_exact, Ambient",https://discogs.com/release/29201749-Mitseliy-Forgotten-Pine-Trails-I,,,
Spectrumrites,Spectrum Rites,,,,,"style_exact, Ambient",https://discogs.com/release/29164027-Spectrumrites-Spectrum-Rites,,,
Wire ,Drum Studies,,,,,"style_exact, Ambient",https://discogs.com/release/29158003-Wire-Drum-Studies,,,
Various,Time To Relax,,,,,"style_exact, Ambient",https://discogs.com/release/29148277-Various-Time-To-Relax,,,
Hammock,Longest Year,,,,,"style_exact, Ambient",https://discogs.com/release/29121946-Hammock-Longest-Year,,,
Lacrymosa,I Was Once (Oh),,,,,"style_exact, Ambient",https://discogs.com/release/29176492-Lacrymosa-I-Was-Once-Oh,,,
Coil,The Consequences Of Raising Hell... / ...Hellraiser,,,,,"style_exact, Ambient",https://discogs.com/release/28970734-Coil-The-Consequences-Of-Raising-Hell-Hellraiser,,,
Various,Bail Fund Benefit,,,,,"style_exact, Ambient",https://discogs.com/release/29140117-Various-Bail-Fund-Benefit,,,
øjeRum,The Limited Circle Is Pure,,,,,"style_exact, Ambient",https://discogs.com/release/29216065-%C3%B8jeRum-The-Limited-Circle-Is-Pure,,,
Fields We Found,Paths,,,,,"style_exact, Ambient",https://discogs.com/release/29228692-Fields-We-Found-Paths,,,
Johannes Malfatti,In The Glow Of Distant Fires,,,,,"style_exact, Ambient",https://discogs.com/release/29225707-Johannes-Malfatti-In-The-Glow-Of-Distant-Fires,,,
Erik K Skodvin*,Nothing Left But Silence,,,,,"style_exact, Ambient",https://discogs.com/release/29225365-Erik-K-Skodvin-Nothing-Left-But-Silence,,,
Various,...it wasn't really me,,,,,"style_exact, Ambient",https://discogs.com/release/29206804-Various-it-wasnt-really-me,,,
The Jaffa Kid,To The Dedicated,,,,,"style_exact, Ambient",https://discogs.com/release/28998202-The-Jaffa-Kid-To-The-Dedicated,,,
James Blake,Playing Robots Into Heaven (Endel Chillout Soundscape),,,,,"style_exact, Ambient",https://discogs.com/release/29067178-James-Blake-Playing-Robots-Into-Heaven-Endel-Chillout-Soundscape,,,
Simon Wester ,Reflections,,,,,"style_exact, Ambient",https://discogs.com/release/29011240-Simon-Wester-Reflections,,,
phoxnod,Golginia (Original Game Soundtrack),,,,,"style_exact, Ambient",https://discogs.com/release/29002339-phoxnod-Golginia-Original-Game-Soundtrack,,,
Dao,Tales Of Diversity,,,,,"style_exact, Ambient",https://discogs.com/release/28983289-Dao-Tales-Of-Diversity,,,
