Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
羊を数える,ミ​ッ​ト​゙​ナ​イ​ト​コ​ン​ハ​゚​ニ​オ​ン,,,,,"style_exact, Ambient",https://discogs.com/release/29013613-%E7%BE%8A%E3%82%92%E6%95%B0%E3%81%88%E3%82%8B-%E3%83%9F%E3%83%83%E3%83%88%E3%83%8A%E3%82%A4%E3%83%88%E3%82%B3%E3%83%B3%E3%83%8F%E3%83%8B%E3%82%AA%E3%83%B3,,,
Newworldaquarium,Mercury / Levels Halo,,,,,"style_exact, Ambient",https://discogs.com/release/29000407-Newworldaquarium-Mercury-Levels-Halo,,,
Zemlitsa,В​е​ч​н​а​я С​к​о​р​б​ь,,,,,"style_exact, Ambient",https://discogs.com/release/28997116-Zemlitsa-%D0%92%D0%B5%D1%87%D0%BD%D0%B0%D1%8F-%D0%A1%D0%BA%D0%BE%D1%80%D0%B1%D1%8C,,,
Adeptus Mechanicus ,The Cathedral,,,,,"style_exact, Ambient",https://discogs.com/release/28993003-Adeptus-Mechanicus-The-Cathedral,,,
Yorkshire Modular Society,Encroaching Moss Eats The Lichen Spirits,,,,,"style_exact, Ambient",https://discogs.com/release/28971775-Yorkshire-Modular-Society-Encroaching-Moss-Eats-The-Lichen-Spirits,,,
Dimi.online,Loving Blends EP,,,,,"style_exact, Ambient",https://discogs.com/release/28969078-Dimionline-Loving-Blends-EP,,,
bod [包家巷],"Your Music 消失音乐（家）无声, 翻译失败（没）注意",,,,,"style_exact, Ambient",https://discogs.com/release/29092660-bod-%E5%8C%85%E5%AE%B6%E5%B7%B7-Your-Music-%E6%B6%88%E5%A4%B1%E9%9F%B3%E4%B9%90%E5%AE%B6%E6%97%A0%E5%A3%B0-%E7%BF%BB%E8%AF%91%E5%A4%B1%E8%B4%A5%E6%B2%A1%E6%B3%A8%E6%84%8F,,,
Jean-Michel Jarre,Les Chants Magnétiques,,,,,"style_exact, Ambient",https://discogs.com/release/29018197-Jean-Michel-Jarre-Les-Chants-Magn%C3%A9tiques,,,
Naoki Kasugai,Walk : 2023/12/8,,,,,"style_exact, Ambient",https://discogs.com/release/29142868-Naoki-Kasugai-Walk-2023128,,,
Yorkshire Modular Society,YMS_0155,,,,,"style_exact, Ambient",https://discogs.com/release/29142154-Yorkshire-Modular-Society-YMS_0155,,,
Yorkshire Modular Society,YMS_0156,,,,,"style_exact, Ambient",https://discogs.com/release/29142145-Yorkshire-Modular-Society-YMS_0156,,,
Weltklang,Grooves/Rillen,,,,,"style_exact, Ambient",https://discogs.com/release/29141620-Weltklang-GroovesRillen,,,
Yorkshire Modular Society,YMS_0166,,,,,"style_exact, Ambient",https://discogs.com/release/29127580-Yorkshire-Modular-Society-YMS_0166,,,
Євген Філатов*,Як звучить світ. Україна,,,,,"style_exact, Ambient",https://discogs.com/release/29125312-%D0%84%D0%B2%D0%B3%D0%B5%D0%BD-%D0%A4%D1%96%D0%BB%D0%B0%D1%82%D0%BE%D0%B2-%D0%AF%D0%BA-%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D1%82%D1%8C-%D1%81%D0%B2%D1%96%D1%82-%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0,,,
Maduro,All Hail False Gods,,,,,"style_exact, Ambient",https://discogs.com/release/29120605-Maduro-All-Hail-False-Gods,,,
stellatum_,PROJETO: MATA ATL​Â​NTICA,,,,,"style_exact, Ambient",https://discogs.com/release/29112715-stellatum_-PROJETO-MATA-ATL%C3%82NTICA,,,
Vaperror,Polychromatic Compiler,,,,,"style_exact, Ambient",https://discogs.com/release/29109298-Vaperror-Polychromatic-Compiler,,,
Hanisii,Klondike,,,,,"style_exact, Ambient",https://discogs.com/release/29089735-Hanisii-Klondike,,,
Biosphere,Novelty Waves Remixes,,,,,"style_exact, Ambient",https://discogs.com/release/29068492-Biosphere-Novelty-Waves-Remixes,,,
e. artifact,Selected Improvisations Nov. 23,,,,,"style_exact, Ambient",https://discogs.com/release/29063800-e-artifact-Selected-Improvisations-Nov-23,,,
Miguel A. Ruiz,Vasarely,,,,,"style_exact, Ambient",https://discogs.com/release/28982263-Miguel-A-Ruiz-Vasarely,,,
HEFT ,Mensch,,,,,"style_exact, Ambient",https://discogs.com/release/28972942-HEFT-Mensch,,,
Lauren Helene Green,Outer Highway Realms,,,,,"style_exact, Ambient",https://discogs.com/release/29154514-Lauren-Helene-Green-Outer-Highway-Realms,,,
Kelly Bailey,Half-Life,,,,,"style_exact, Ambient",https://discogs.com/release/29150041-Kelly-Bailey-Half-Life,,,
Lone ,Triton,,,,,"style_exact, Ambient",https://discogs.com/release/29197210-Lone-Triton,,,
Primitive Outtakes,Schwarzmondnacht,,,,,"style_exact, Ambient",https://discogs.com/release/29192950-Primitive-Outtakes-Schwarzmondnacht,,,
SOFA ,Looking For Satellite,,,,,"style_exact, Ambient",https://discogs.com/release/29192899-SOFA-Looking-For-Satellite,,,
Ser ,Like A Higanbana To The Elegy,,,,,"style_exact, Ambient",https://discogs.com/release/29186854-Ser-Like-A-Higanbana-To-The-Elegy,,,
Arieti Rilassati,Meditiamo Insieme,,,,,"style_exact, Ambient",https://discogs.com/release/29168476-Arieti-Rilassati-Meditiamo-Insieme,,,
Various,I.D. Vision,,,,,"style_exact, Ambient",https://discogs.com/release/29164366-Various-ID-Vision,,,
Various,Ex Nihilo,,,,,"style_exact, Ambient",https://discogs.com/release/29164201-Various-Ex-Nihilo,,,
The KLF,Chill Out,,,,,"style_exact, Ambient",https://discogs.com/release/29111269-The-KLF-Chill-Out,,,
Tomboy Facefuck,Silence,,,,,"style_exact, Ambient",https://discogs.com/release/29179708-Tomboy-Facefuck-Silence,,,
A Journey Of Giraffes,Empress Nouveau,,,,,"style_exact, Ambient",https://discogs.com/release/29202535-A-Journey-Of-Giraffes-Empress-Nouveau,,,
Past Palms,Portraits,,,,,"style_exact, Ambient",https://discogs.com/release/29201500-Past-Palms-Portraits,,,
Tomboy Facefuck,Submarine U​-​270,,,,,"style_exact, Ambient",https://discogs.com/release/29180062-Tomboy-Facefuck-Submarine-U-270,,,
Tomboy Facefuck,幸福,,,,,"style_exact, Ambient",https://discogs.com/release/29179744-Tomboy-Facefuck-%E5%B9%B8%E7%A6%8F,,,
Jon And Vangelis*,Short Stories,,,,,"style_exact, Ambient",https://discogs.com/release/28973530-Jon-And-Vangelis-Short-Stories,,,
Sotvorishi*,Foaming Waves,,,,,"style_exact, Ambient",https://discogs.com/release/29209663-Sotvorishi-Foaming-Waves,,,
Mental Anguish,Vagrant Series Volume One,,,,,"style_exact, Ambient",https://discogs.com/release/29207047-Mental-Anguish-Vagrant-Series-Volume-One,,,
Various,I.D. Luminate,,,,,"style_exact, Ambient",https://discogs.com/release/29189350-Various-ID-Luminate,,,
Sverre Knut Johansen,Cosmos,,,,,"style_exact, Ambient",https://discogs.com/release/29222551-Sverre-Knut-Johansen-Cosmos,,,
Chris Phinney  & Ed Drury,Time Paradox,,,,,"style_exact, Ambient",https://discogs.com/release/29218648-Chris-Phinney-Ed-Drury-Time-Paradox,,,
Astro Sound Engine,Lost & Found ~Original Sound~,,,,,"style_exact, Ambient",https://discogs.com/release/29215171-Astro-Sound-Engine-Lost-Found-Original-Sound,,,
Coral Chiller,Lakes,,,,,"style_exact, Ambient",https://discogs.com/release/29210833-Coral-Chiller-Lakes,,,
Spiritwave,Electronique Odyssey Vol 1,,,,,"style_exact, Ambient",https://discogs.com/release/29240998-Spiritwave-Electronique-Odyssey-Vol-1,,,
Choongum,Graffio,,,,,"style_exact, Ambient",https://discogs.com/release/29240554-Choongum-Graffio,,,
Hexode,Melancholy,,,,,"style_exact, Ambient",https://discogs.com/release/29232817-Hexode-Melancholy,,,
Eccodek,Living For Live,,,,,"style_exact, Ambient",https://discogs.com/release/29229976-Eccodek-Living-For-Live,,,
Mental Anguish,Eyeballs Glazed Over,,,,,"style_exact, Ambient",https://discogs.com/release/29225476-Mental-Anguish-Eyeballs-Glazed-Over,,,
Matti Bye,Between Darkness And White Snow,,,,,"style_exact, Ambient",https://discogs.com/release/29184160-Matti-Bye-Between-Darkness-And-White-Snow,,,
wzrdryAV,Pacific Greyscale Volume 2,,,,,"style_exact, Ambient",https://discogs.com/release/28983190-wzrdryAV-Pacific-Greyscale-Volume-2,,,
Michael Neil,Into Infinity,,,,,"style_exact, Ambient",https://discogs.com/release/29131204-Michael-Neil-Into-Infinity,,,
Laura Mars ,Ghost Radio,,,,,"style_exact, Ambient",https://discogs.com/release/29128468-Laura-Mars-Ghost-Radio,,,
Various,The Aerocade Music Compilation,,,,,"style_exact, Ambient",https://discogs.com/release/29111530-Various-The-Aerocade-Music-Compilation,,,
MulchGang4Life,S/T,,,,,"style_exact, Ambient",https://discogs.com/release/29104003-MulchGang4Life-ST,,,
Daryl Groetsch,Prophecy,,,,,"style_exact, Ambient",https://discogs.com/release/29099467-Daryl-Groetsch-Prophecy,,,
Phil Dole,Please Come Home,,,,,"style_exact, Ambient",https://discogs.com/release/29097532-Phil-Dole-Please-Come-Home,,,
Sines Of Exquisite Pleasure,Alaska,,,,,"style_exact, Ambient",https://discogs.com/release/29094787-Sines-Of-Exquisite-Pleasure-Alaska,,,
Ronnie Minder,Complete Strangers (Original Motion Picture Soundtrack),,,,,"style_exact, Ambient",https://discogs.com/release/29073787-Ronnie-Minder-Complete-Strangers-Original-Motion-Picture-Soundtrack,,,
Grande Loge,Mantras,,,,,"style_exact, Ambient",https://discogs.com/release/29067154-Grande-Loge-Mantras,,,
Various,Object: Resistance,,,,,"style_exact, Ambient",https://discogs.com/release/29064445-Various-Object-Resistance,,,
Enya,Shepherd Moons,,,,,"style_exact, Ambient",https://discogs.com/release/29056054-Enya-Shepherd-Moons,,,
Personal Computers,Ｐ​ａ​ｐ​ｉ​ｅ​ｒ​ｋ​ｏ​ｒ​ｂ,,,,,"style_exact, Ambient",https://discogs.com/release/29051299-Personal-Computers-%EF%BC%B0%EF%BD%81%EF%BD%90%EF%BD%89%EF%BD%85%EF%BD%92%EF%BD%8B%EF%BD%8F%EF%BD%92%EF%BD%82,,,
Cigvë & Kole Galbraith,Time Blindness,,,,,"style_exact, Ambient",https://discogs.com/release/29043115-Cigv%C3%AB-Kole-Galbraith-Time-Blindness,,,
Respira ,Superlunary Love,,,,,"style_exact, Ambient",https://discogs.com/release/29042764-Respira-Superlunary-Love,,,
Uppermost,P2P,,,,,"style_exact, Ambient",https://discogs.com/release/29038138-Uppermost-P2P,,,
Various,In Search Of Angels = 天使、愛と祈り,,,,,"style_exact, Ambient",https://discogs.com/release/29037775-Various-In-Search-Of-Angels-%E5%A4%A9%E4%BD%BF%E6%84%9B%E3%81%A8%E7%A5%88%E3%82%8A,,,
Naoki Kasugai,Walk : 2023/11/27,,,,,"style_exact, Ambient",https://discogs.com/release/29032561-Naoki-Kasugai-Walk-20231127,,,
Exm ,Triad,,,,,"style_exact, Ambient",https://discogs.com/release/29020321-Exm-Triad-,,,
Naoki Kasugai,Walk : 2023/11/23,,,,,"style_exact, Ambient",https://discogs.com/release/28994947-Naoki-Kasugai-Walk-20231123,,,
Aura ,New Circuitry,,,,,"style_exact, Ambient",https://discogs.com/release/28982005-Aura-New-Circuitry,,,
u/v,"Tomorrow's Sioux Falls, Today!",,,,,"style_exact, Ambient",https://discogs.com/release/28970032-uv-Tomorrows-Sioux-Falls-Today,,,
平沢進*,Photon-1,,,,,"style_exact, Ambient",https://discogs.com/release/28965940-%E5%B9%B3%E6%B2%A2%E9%80%B2-Photon-1,,,
Wave Temples,Taboo II,,,,,"style_exact, Ambient",https://discogs.com/release/29142601-Wave-Temples-Taboo-II,,,
Bersarin Quartett,Systeme,,,,,"style_exact, Ambient",https://discogs.com/release/29217187-Bersarin-Quartett-Systeme,,,
Meteoreyes,Oneironaut,,,,,"style_exact, Ambient",https://discogs.com/release/29215387-Meteoreyes-Oneironaut,,,
Stars Without Light,Beneath And Before,,,,,"style_exact, Ambient",https://discogs.com/release/29212213-Stars-Without-Light-Beneath-And-Before,,,
Coral Chiller,Sense,,,,,"style_exact, Ambient",https://discogs.com/release/29210617-Coral-Chiller-Sense,,,
Youth,A New Chapter In Dub Vol. 2 (The Secret Language Of Ordinary Objects),,,,,"style_exact, Ambient",https://discogs.com/release/29210122-Youth-A-New-Chapter-In-Dub-Vol-2-The-Secret-Language-Of-Ordinary-Objects,,,
Mental Anguish,Vagrant Series Volume Three,,,,,"style_exact, Ambient",https://discogs.com/release/29206900-Mental-Anguish-Vagrant-Series-Volume-Three,,,
Lisa Lerkenfeldt,With Water Up To Her Knees,,,,,"style_exact, Ambient",https://discogs.com/release/29205214-Lisa-Lerkenfeldt-With-Water-Up-To-Her-Knees,,,
Three Moons ,Fullmoon Over Turres,,,,,"style_exact, Ambient",https://discogs.com/release/29199514-Three-Moons-Fullmoon-Over-Turres,,,
Tomboy Facefuck,oolstc,,,,,"style_exact, Ambient",https://discogs.com/release/29179435-Tomboy-Facefuck-oolstc,,,
Not Of This Earth,"Time Meet Space, Space Meet Time",,,,,"style_exact, Ambient",https://discogs.com/release/29172430-Not-Of-This-Earth-Time-Meet-Space-Space-Meet-Time,,,
Brian Eno,Film Music: Europa,,,,,"style_exact, Ambient",https://discogs.com/release/29168896-Brian-Eno-Film-Music-Europa,,,
Brian Eno,Film Music: Science / Fiction,,,,,"style_exact, Ambient",https://discogs.com/release/29168839-Brian-Eno-Film-Music-Science-Fiction,,,
Bill Gould* and Jared Blum,The Eclipse,,,,,"style_exact, Ambient",https://discogs.com/release/29162887-Bill-Gould-and-Jared-Blum-The-Eclipse,,,
ES ,Is,,,,,"style_exact, Ambient",https://discogs.com/release/29144962-ES-Is,,,
Art Demoir,Convert,,,,,"style_exact, Ambient",https://discogs.com/release/29192599-Art-Demoir-Convert,,,
Art Demoir,Capability,,,,,"style_exact, Ambient",https://discogs.com/release/29192176-Art-Demoir-Capability,,,
Uhushuhu*,Zvirat,,,,,"style_exact, Ambient",https://discogs.com/release/29190625-Uhushuhu-Zvirat,,,
Anser Flare,Apostate,,,,,"style_exact, Ambient",https://discogs.com/release/29157040-Anser-Flare-Apostate,,,
Mark Isham,Vapor Drawings,,,,,"style_exact, Ambient",https://discogs.com/release/29231566-Mark-Isham-Vapor-Drawings,,,
Amoraim,Survivors,,,,,"style_exact, Ambient",https://discogs.com/release/29224207-Amoraim-Survivors,,,
"M. Wilczyński*, A. Korzyński*",Bolek I Lolek Na Dzikim Zachodzie,,,,,"style_exact, Ambient",https://discogs.com/release/29239510-M-Wilczy%C5%84ski-A-Korzy%C5%84ski-Bolek-I-Lolek-Na-Dzikim-Zachodzie,,,
Aphex Twin,...I Care Because You Do,,,,,"style_exact, Ambient",https://discogs.com/release/29035852-Aphex-Twin-I-Care-Because-You-Do,,,
Jean-Michel Jarre,Les Chants Magnétiques,,,,,"style_exact, Ambient",https://discogs.com/release/29018383-Jean-Michel-Jarre-Les-Chants-Magn%C3%A9tiques,,,
The Cloud Hymn,A Seed Buried In The Ground,,,,,"style_exact, Ambient",https://discogs.com/release/29145010-The-Cloud-Hymn-A-Seed-Buried-In-The-Ground,,,
Yorkshire Modular Society,YMS_0137,,,,,"style_exact, Ambient",https://discogs.com/release/29143483-Yorkshire-Modular-Society-YMS_0137,,,
Yorkshire Modular Society,YMS_0145,,,,,"style_exact, Ambient",https://discogs.com/release/29142481-Yorkshire-Modular-Society-YMS_0145,,,
Yorkshire Modular Society,YMS_0151,,,,,"style_exact, Ambient",https://discogs.com/release/29142178-Yorkshire-Modular-Society-YMS_0151,,,
Yorkshire Modular Society,YMS_0153,,,,,"style_exact, Ambient",https://discogs.com/release/29142163-Yorkshire-Modular-Society-YMS_0153,,,
Entropica,Sonic Bloom Entropica Prolifica,,,,,"style_exact, Ambient",https://discogs.com/release/29136289-Entropica-Sonic-Bloom-Entropica-Prolifica,,,
Yorkshire Modular Society,YMS_0169,,,,,"style_exact, Ambient",https://discogs.com/release/29127550-Yorkshire-Modular-Society-YMS_0169,,,
Charter Murphy,Aftersome Insights,,,,,"style_exact, Ambient",https://discogs.com/release/29117497-Charter-Murphy-Aftersome-Insights,,,
Annette Nepper-Christensen,Bevægelse & Afspænding,,,,,"style_exact, Ambient",https://discogs.com/release/29116462-Annette-Nepper-Christensen-Bev%C3%A6gelse-Afsp%C3%A6nding,,,
Unknown Artist,The Wonderful Sound Of The Pan Pipes,,,,,"style_exact, Ambient",https://discogs.com/release/29104804-Unknown-Artist-The-Wonderful-Sound-Of-The-Pan-Pipes,,,
"Vangelis, Chris Gorman , Ted Heath And His Music, Juan Martin",Se Ligue Nessas,,,,,"style_exact, Ambient",https://discogs.com/release/29103643-Vangelis-Chris-Gorman-2-Ted-Heath-And-His-Music-Juan-Martin-Se-Ligue-Nessas,,,
Various,M​í​stní Fauna,,,,,"style_exact, Ambient",https://discogs.com/release/29097436-Various-M%C3%ADstn%C3%AD-Fauna,,,
Brutal Bastion,There's A Hole​ In Your Soul,,,,,"style_exact, Ambient",https://discogs.com/release/29097031-Brutal-Bastion-Theres-A-Hole-In-Your-Soul,,,
Various,Autumn '23,,,,,"style_exact, Ambient",https://discogs.com/release/29094478-Various-Autumn-23,,,
Phillip Wilkerson,Au Ralenti,,,,,"style_exact, Ambient",https://discogs.com/release/29085913-Phillip-Wilkerson-Au-Ralenti,,,
Jon & Vangelis,The Best Of Jon And Vangelis,,,,,"style_exact, Ambient",https://discogs.com/release/29085838-Jon-Vangelis-The-Best-Of-Jon-And-Vangelis,,,
Mathieu Leguern,Music 2 Eat,,,,,"style_exact, Ambient",https://discogs.com/release/29082139-Mathieu-Leguern-Music-2-Eat,,,
Crek Noarde,Romperse Sin Arder,,,,,"style_exact, Ambient",https://discogs.com/release/29078938-Crek-Noarde-Romperse-Sin-Arder,,,
Ronnie Minder,"EPIC (Inspirational, Motivational & Uplifting Music)",,,,,"style_exact, Ambient",https://discogs.com/release/29073940-Ronnie-Minder-EPIC-Inspirational-Motivational-Uplifting-Music,,,
Biosphere,N-Plants,,,,,"style_exact, Ambient",https://discogs.com/release/29060662-Biosphere-N-Plants,,,
Mheadhain,C4,,,,,"style_exact, Ambient",https://discogs.com/release/29059414-Mheadhain-C4,,,
GOMM ,Zener_48,,,,,"style_exact, Ambient",https://discogs.com/release/29045260-GOMM-Zener_48,,,
Ishtadi,Sounds Of Home,,,,,"style_exact, Ambient",https://discogs.com/release/29042656-Ishtadi-Sounds-Of-Home,,,
Post Apocalyptic,Realm Of Sleep,,,,,"style_exact, Ambient",https://discogs.com/release/29042401-Post-Apocalyptic-Realm-Of-Sleep,,,
Heavenchord & Infinity Dots,Palingenesia,,,,,"style_exact, Ambient",https://discogs.com/release/29041363-Heavenchord-Infinity-Dots-Palingenesia,,,
Parapheen vs. Ghost Reflection,A Golden Path,,,,,"style_exact, Ambient",https://discogs.com/release/29035054-Parapheen-vs-Ghost-Reflection-A-Golden-Path,,,
Gabrielle Roth And The Mirrors*,Initiation,,,,,"style_exact, Ambient",https://discogs.com/release/29029735-Gabrielle-Roth-And-The-Mirrors-Initiation,,,
Kitaro,Silver Cloud,,,,,"style_exact, Ambient",https://discogs.com/release/29020507-Kitaro-Silver-Cloud,,,
Various,Texas Noise & Ambient #4 Home Audio Companion,,,,,"style_exact, Ambient",https://discogs.com/release/29019043-Various-Texas-Noise-Ambient-4-Home-Audio-Companion,,,
Chin Xaou Ti Won,Nous Sommes Contents (A Night At The CAMH),,,,,"style_exact, Ambient",https://discogs.com/release/29018452-Chin-Xaou-Ti-Won-Nous-Sommes-Contents-A-Night-At-The-CAMH,,,
Naoki Kasugai,Walk : 2023/11/24,,,,,"style_exact, Ambient",https://discogs.com/release/29005078-Naoki-Kasugai-Walk-20231124,,,
Morning Haze ,Perfectly Numb,,,,,"style_exact, Ambient",https://discogs.com/release/29003833-Morning-Haze-Perfectly-Numb,,,
Carlos Giffoni,Breaking,,,,,"style_exact, Ambient",https://discogs.com/release/29003239-Carlos-Giffoni-Breaking,,,
Totemtag,Electro​-​Rocking Motions,,,,,"style_exact, Ambient",https://discogs.com/release/29002105-Totemtag-Electro-Rocking-Motions,,,
Interna carnis,m​ø​rk hierusalem,,,,,"style_exact, Ambient",https://discogs.com/release/28995598-Interna-carnis-m%C3%B8rk-hierusalem,,,
Adeptus Mechanicus ,The Cathedral,,,,,"style_exact, Ambient",https://discogs.com/release/28993033-Adeptus-Mechanicus-The-Cathedral,,,
Noxw,ಕೊನೆಯ (Koneya),,,,,"style_exact, Ambient",https://discogs.com/release/28989949-Noxw-%E0%B2%95%E0%B2%A8%E0%B2%AF-Koneya,,,
Various,Gothic Compilation Part 58 + 59,,,,,"style_exact, Ambient",https://discogs.com/release/28986103-Various-Gothic-Compilation-Part-58-59,,,
Sir Kibble,Self Medicated Warfare,,,,,"style_exact, Ambient",https://discogs.com/release/28985200-Sir-Kibble-Self-Medicated-Warfare,,,
Vangelis,Direct,,,,,"style_exact, Ambient",https://discogs.com/release/28979764-Vangelis-Direct,,,
Robert Farago*,Calm & Peaceful Mind,,,,,"style_exact, Ambient",https://discogs.com/release/28972600-Robert-Farago-Calm-Peaceful-Mind,,,
The Bawn,Alright Mama Mia!,,,,,"style_exact, Ambient",https://discogs.com/release/29046049-The-Bawn-Alright-Mama-Mia,,,
Coral Chiller,Nautilus,,,,,"style_exact, Ambient",https://discogs.com/release/29210734-Coral-Chiller-Nautilus,,,
Rew,Garden of Astral Blooms,,,,,"style_exact, Ambient",https://discogs.com/release/29209876-Rew-Garden-of-Astral-Blooms,,,
Steven Leak,Daedalus,,,,,"style_exact, Ambient",https://discogs.com/release/29200201-Steven-Leak-Daedalus,,,
Carbonates On Mars,The Sun Machine,,,,,"style_exact, Ambient",https://discogs.com/release/29199730-Carbonates-On-Mars-The-Sun-Machine,,,
Lil,Illustrations For Unwritten Stories,,,,,"style_exact, Ambient",https://discogs.com/release/29199727-Lil-Illustrations-For-Unwritten-Stories,,,
Yolabmi,Hydra,,,,,"style_exact, Ambient",https://discogs.com/release/29195260-Yolabmi-Hydra,,,
Kian Dray,Post Apocalyptic News At Midnight,,,,,"style_exact, Ambient",https://discogs.com/release/29190727-Kian-Dray-Post-Apocalyptic-News-At-Midnight,,,
Ser ,Her Sole Departure​.​.​.,,,,,"style_exact, Ambient",https://discogs.com/release/29187001-Ser-Her-Sole-Departure,,,
Various,I.D. Enjoy The Ride,,,,,"style_exact, Ambient",https://discogs.com/release/29164957-Various-ID-Enjoy-The-Ride,,,
Neon Noodle ,Nostalgism,,,,,"style_exact, Ambient",https://discogs.com/release/29160643-Neon-Noodle-Nostalgism,,,
Celestial Silver,The Legend of Maven's Dagger,,,,,"style_exact, Ambient",https://discogs.com/release/29100724-Celestial-Silver-The-Legend-of-Mavens-Dagger,,,
Peter Andersson,Music For Film And Exhibition & Natura Fluxus,,,,,"style_exact, Ambient",https://discogs.com/release/29181895-Peter-Andersson-Music-For-Film-And-Exhibition-Natura-Fluxus,,,
Tomboy Facefuck,Xomis,,,,,"style_exact, Ambient",https://discogs.com/release/29179495-Tomboy-Facefuck-Xomis,,,
Demon Grrl,Demon Grrl (Low Fidelity),,,,,"style_exact, Ambient",https://discogs.com/release/29223250-Demon-Grrl-Demon-Grrl-Low-Fidelity,,,
No Seas,OKEANS EP,,,,,"style_exact, Ambient",https://discogs.com/release/29220958-No-Seas-OKEANS-EP,,,
CigmaSix*,Pathogenic Distress,,,,,"style_exact, Ambient",https://discogs.com/release/29219011-CigmaSix-Pathogenic-Distress,,,
Klofink,Vakant,,,,,"style_exact, Ambient",https://discogs.com/release/29217895-Klofink-Vakant,,,
Castle From Indistinct Dreams,Top Believe,,,,,"style_exact, Ambient",https://discogs.com/release/29217760-Castle-From-Indistinct-Dreams-Top-Believe,,,
Simon McCorry,And Where Are You Really From?,,,,,"style_exact, Ambient",https://discogs.com/release/29190475-Simon-McCorry-And-Where-Are-You-Really-From,,,
Various,10,,,,,"style_exact, Ambient",https://discogs.com/release/29229487-Various-10,,,
Blusel,Nu Hvor Alt Forsvinder,,,,,"style_exact, Ambient",https://discogs.com/release/29226316-Blusel-Nu-Hvor-Alt-Forsvinder,,,
harmash*,tapes from the dust,,,,,"style_exact, Ambient",https://discogs.com/release/29234590-harmash-tapes-from-the-dust,,,
Naoki Kasugai,Walk : 2023/12/18,,,,,"style_exact, Ambient",https://discogs.com/release/29234107-Naoki-Kasugai-Walk-20231218,,,
Jean-Michel Jarre,Les Concerts En Chine 2,,,,,"style_exact, Ambient",https://discogs.com/release/29241115-Jean-Michel-Jarre-Les-Concerts-En-Chine-2,,,
b e g o t t e n 自杀,(Hushwave​)​ = 治愈它,,,,,"style_exact, Ambient",https://discogs.com/release/29243554-b-e-g-o-t-t-e-n-%E8%87%AA%E6%9D%80-Hushwave-%E6%B2%BB%E6%84%88%E5%AE%83,,,
A.G.,White Forms 16 / 22 : In Fifty-nine Parts,,,,,"style_exact, Ambient",https://discogs.com/release/29171881-AG-White-Forms-16-22-In-Fifty-nine-Parts,,,
Kamal,Silhouette,,,,,"style_exact, Ambient",https://discogs.com/release/29075068-Kamal-Silhouette,,,
Ronnie Minder,Blade Runner (An Original Score Inspired By The Motion Picture),,,,,"style_exact, Ambient",https://discogs.com/release/29073664-Ronnie-Minder-Blade-Runner-An-Original-Score-Inspired-By-The-Motion-Picture,,,
Stewart Keller,Tree,,,,,"style_exact, Ambient",https://discogs.com/release/29070142-Stewart-Keller-Tree,,,
Monophaze,Blending,,,,,"style_exact, Ambient",https://discogs.com/release/29064481-Monophaze-Blending,,,
Doors In The Labyrinth,For Brian (First Try),,,,,"style_exact, Ambient",https://discogs.com/release/29062657-Doors-In-The-Labyrinth-For-Brian-First-Try,,,
Unknown Artist,Sounds Of Nature,,,,,"style_exact, Ambient",https://discogs.com/release/29060521-Unknown-Artist-Sounds-Of-Nature,,,
Half Light ,Od Nowa,,,,,"style_exact, Ambient",https://discogs.com/release/29036260-Half-Light-Od-Nowa,,,
Agalma Isle,Holds,,,,,"style_exact, Ambient",https://discogs.com/release/29029981-Agalma-Isle-Holds,,,
夜間視力NIGHT VISION.Corp,私はあなたの絶望に溺れています,,,,,"style_exact, Ambient",https://discogs.com/release/29026207-%E5%A4%9C%E9%96%93%E8%A6%96%E5%8A%9BNIGHT-VISIONCorp-%E7%A7%81%E3%81%AF%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E7%B5%B6%E6%9C%9B%E3%81%AB%E6%BA%BA%E3%82%8C%E3%81%A6%E3%81%84%E3%81%BE%E3%81%99,,,
Mike Oldfield,Earth Moving,,,,,"style_exact, Ambient",https://discogs.com/release/29006353-Mike-Oldfield-Earth-Moving,,,
Newworldaquarium,Mercury / Levels Halo,,,,,"style_exact, Ambient",https://discogs.com/release/29000452-Newworldaquarium-Mercury-Levels-Halo,,,
Various,Narada Equinox Sampler One,,,,,"style_exact, Ambient",https://discogs.com/release/28997842-Various-Narada-Equinox-Sampler-One,,,
Adeptus Mechanicus ,The Cathedral,,,,,"style_exact, Ambient",https://discogs.com/release/28992943-Adeptus-Mechanicus-The-Cathedral,,,
"Harold Budd, Hector Zazou",Glyph,,,,,"style_exact, Ambient",https://discogs.com/release/28973812-Harold-Budd-Hector-Zazou-Glyph,,,
Miagma,Scarlet Pattern,,,,,"style_exact, Ambient",https://discogs.com/release/28968670-Miagma-Scarlet-Pattern,,,
平沢進*,Photon2-Vol. 4,,,,,"style_exact, Ambient",https://discogs.com/release/28965994-%E5%B9%B3%E6%B2%A2%E9%80%B2-Photon2-Vol-4,,,
